Original row	Sample	0h	6h	3d	7d	11d
2283	SMED30002331	1.3288522	0.76401526	-0.79522496	-0.94556344	-0.35207903
2298	SMED30002346	1.5467036	-0.19620143	0.07039427	-0.18376791	-1.2371285
2320	SMED30002368	1.5288529	0.268125	-0.8201735	-0.957955	-0.018849475
2372	SMED30002420	1.35802	0.121835075	-1.4180361	-0.28408992	0.22227101
2422	SMED30002471	1.1152928	0.9550103	-0.19303529	-1.0882123	-0.78905565
2438	SMED30002487	1.7879604	-0.3941961	-0.47206587	-0.47076452	-0.45093396
2454	SMED30002505	0.9003422	0.68102515	-1.5795276	0.33869717	-0.34053683
2504	SMED30002557	1.4227495	-0.43138954	0.24054089	-1.3134593	0.08155844
2626	SMED30002684	1.1109424	0.83951104	0.028054804	-1.2161835	-0.76232463
2668	SMED30002726	0.69920665	1.0511333	0.3744921	-0.99711233	-1.1277196
2686	SMED30002745	1.1598591	1.0283386	-0.7019152	-0.73844653	-0.7478359
2697	SMED30002756	1.2214705	0.9599478	-0.714257	-0.72784716	-0.73931414
2760	SMED30002820	0.7880876	1.1560031	0.07403987	-1.0273314	-0.9907993
2800	SMED30002860	1.2359873	0.9397885	-0.64860106	-0.72954327	-0.79763156
2838	SMED30002899	0.47659895	0.7951953	-1.5186912	0.7573317	-0.51043475
2840	SMED30002901	1.3900279	0.7417194	-0.7181389	-0.66934186	-0.74426657
2860	SMED30002921	1.3367107	-0.43043882	-1.3029165	0.55305606	-0.15641145
2967	SMED30003030	1.5882506	0.33599278	-0.5099054	-0.47870743	-0.93563056
2984	SMED30003047	1.2572212	0.82804626	-1.124142	-0.54442954	-0.41669586
3070	SMED30003137	1.3007234	0.8618275	-0.65835816	-0.76996595	-0.7342268
3096	SMED30003164	1.106253	1.0667577	-0.632956	-0.6092252	-0.9308295
3131	SMED30003199	0.8551473	1.0926815	-1.3836102	-0.30682456	-0.257394
3140	SMED30003208	1.2721959	0.8995358	-0.7121983	-0.7278374	-0.73169607
3149	SMED30003217	1.286924	0.88120645	-0.70833373	-0.72432905	-0.7354676
3150	SMED30003218	1.4078165	0.6989933	-0.7352104	-0.5304227	-0.84117675
3193	SMED30003263	1.2012478	0.59999186	0.26194996	-1.0347644	-1.0284252
3234	SMED30003304	1.2855921	0.6247125	-0.10987843	-0.49762967	-1.3027965
3254	SMED30003324	1.0953916	1.0953916	-0.73339546	-0.7423997	-0.7149882
3262	SMED30003332	1.3722599	0.5264629	-0.8874772	0.014384437	-1.02563
3270	SMED30003341	1.7864877	-0.36518252	-0.50398505	-0.44516087	-0.47215924
3281	SMED30003352	0.8621653	1.1997756	-0.2307694	-1.124584	-0.70658755
3307	SMED30003380	1.3313011	0.82390606	-0.700934	-0.7220053	-0.7322678
3339	SMED30003415	1.3401179	0.80892974	-0.79219174	-0.64996934	-0.7068866
3401	SMED30003478	1.3536204	0.7936895	-0.6928384	-0.72757477	-0.7268967
3430	SMED30003507	1.1342208	0.908335	-0.9226978	-1.0127306	-0.10712737
3451	SMED30003529	0.7582459	1.0955869	-0.08911237	-0.30803776	-1.4566827
3500	SMED30003580	1.44	0.6351164	-0.91399	-0.66284925	-0.49827722
3518	SMED30003599	1.243085	0.77174985	-0.097583	-1.0350847	-0.88216716
3526	SMED30003607	1.258813	0.8557573	-0.8753602	-0.346665	-0.8925452
3640	SMED30003722	1.2440348	0.8867275	-0.42440936	-0.9759539	-0.730399
3694	SMED30003777	1.2312826	0.60459983	-0.9401507	-1.0933701	0.19763836
3710	SMED30003793	0.12951438	1.1125838	-1.6281708	0.09324454	0.29282817
