Original row	Sample	0h	6h	3d	7d	11d
15	SMED30000440	-0.91553086	-0.93836683	-0.2497597	0.99613434	1.1075231
59	SMED30002126	-0.26341358	-0.53592116	-1.0562065	0.29282457	1.5627167
61	SMED30002260	-0.98952675	-1.0026711	0.04905402	0.7213948	1.2217491
76	SMED30002644	-1.2455617	-0.57227576	-0.073616154	0.5414629	1.3499907
94	SMED30003502	-1.1321708	-0.8657688	0.061619062	0.75583035	1.1804903
103	SMED30004242	-0.8181866	-0.98308927	-0.2694683	0.76380044	1.3069437
110	SMED30004492	-1.0549884	-0.6519798	-0.15648676	0.33961186	1.523843
122	SMED30004919	-1.1030957	-0.28910476	-0.673777	0.7968833	1.2690941
124	SMED30004923	-0.6983307	-0.5603785	-0.8966166	0.8883558	1.2669699
139	SMED30005463	-1.0347066	-0.77267057	-0.24638495	0.7416726	1.3120894
155	SMED30006058	-1.1066388	-0.547449	-0.34767768	0.5818136	1.4199519
179	SMED30006773	-0.8689815	-0.9421555	-0.30511594	0.94664675	1.1696061
194	SMED30007407	-0.18312334	-0.284579	-1.3077493	0.34038767	1.435064
199	SMED30007456	-0.955133	-0.84163105	-0.3165852	0.9049689	1.2083803
235	SMED30008887	-1.0775661	-0.71997935	-0.30190587	0.93684113	1.1626102
238	SMED30009024	-1.2527448	-0.40667626	-0.30665612	0.63772935	1.3283479
258	SMED30009733	-1.4491788	-0.30778694	0.13013057	0.33127758	1.2955575
259	SMED30009813	-1.1273017	-0.79345155	-0.059358425	0.72959363	1.250518
265	SMED30009947	-0.89305633	-0.7490787	-0.12814696	0.15783061	1.6124513
280	SMED30010399	-0.98336786	-0.5662673	-0.6060491	1.1816355	0.9740488
283	SMED30010437	-1.0488008	-0.7937942	-0.25664663	1.0674028	1.0318388
294	SMED30010793	-0.66431355	-0.4754366	-0.8181254	0.36792237	1.5899533
332	SMED30012234	-1.3201349	-0.50723696	-0.15957944	1.0093026	0.97764874
368	SMED30013423	-0.94225276	-0.67051977	-0.5403079	0.914132	1.2389485
373	SMED30013581	-1.1833102	-0.7624154	-0.060440026	1.0384135	0.96775216
378	SMED30013728	-0.929194	-0.5050594	-0.7286395	1.0054687	1.1574241
380	SMED30013824	-1.2341214	-0.6577212	-0.034486026	0.65674394	1.2695847
393	SMED30014149	-0.9050794	-0.8278628	-0.3747064	0.7950018	1.3126469
449	SMED30015885	-1.190327	0.21823223	-0.875854	1.0985006	0.7494481
460	SMED30016102	-0.70672166	-0.15577167	-0.32304233	-0.5624758	1.7480115
465	SMED30016206	-0.76422054	-0.8884134	-0.433804	0.68135506	1.4050828
466	SMED30016247	-1.1516384	-0.7615549	-0.10615577	1.1573377	0.86201143
469	SMED30016267	-1.0410408	-0.75964385	-0.27673262	0.8098381	1.2675791
471	SMED30016345	-1.1983044	0.42249885	-0.94517386	0.7852486	0.9357308
490	SMED30017126	-1.192465	0.6960476	-0.9872522	0.8373356	0.6463339
496	SMED30017397	-0.90419257	-0.89544946	-0.32609683	0.97660255	1.1491363
519	SMED30017870	-1.0514319	-0.9192938	0.048766654	0.64471334	1.2772456
526	SMED30018162	-1.1531115	0.84750783	-1.0295244	0.64682233	0.68830574
552	SMED30018898	-0.88202196	-0.84021187	-0.14847358	0.32532755	1.5453799
554	SMED30019036	-1.1067848	-0.8078205	0.13088109	0.38467014	1.399054
560	SMED30019200	-1.3294724	-0.40513647	-0.22950219	0.7736925	1.1904185
575	SMED30019586	-1.119579	-0.70999336	-0.19794306	0.74185526	1.28566
578	SMED30019712	-1.1377943	-0.8067605	-0.0109005645	0.7107629	1.2446923
579	SMED30019756	-0.8876979	-0.9652339	-0.23138298	0.8769396	1.2073752
584	SMED30019932	-0.88794696	-0.25317603	-0.844713	1.4736153	0.5122207
589	SMED30020234	-1.4316478	-0.5514739	0.23826058	0.6890963	1.0557648
615	SMED30021025	-0.49520627	-0.7568102	-0.9137565	1.1126516	1.0531214
625	SMED30021409	-1.0108868	-0.93498135	0.014459135	0.6203507	1.3110583
641	SMED30022057	-0.7729271	-0.70840853	-0.301761	0.11053473	1.6725619
664	SMED30022797	-0.9061373	-0.97333866	-0.20298152	0.9363215	1.1461359
674	SMED30023116	-0.8033988	-1.0132604	-0.27053759	0.848063	1.2391337
676	SMED30023135	-0.82751405	-0.7702442	-0.479195	0.6289347	1.4480186
683	SMED30023384	-1.1756994	-0.63846684	-0.22192678	0.8082818	1.2278112
686	SMED30023429	-0.9780965	-0.8889565	-0.19419476	0.81731576	1.243932
687	SMED30023446	-0.96305764	-1.0385083	0.060138743	0.74067646	1.2007507
720	SMED30024470	-1.2083403	-0.2019377	-0.23664592	0.08625286	1.5606711
765	SMED30026179	-0.652244	-0.6308133	-0.8941769	1.147463	1.0297712
784	SMED30026997	-1.0422636	-0.8870674	-0.12500437	1.049808	1.0045273
796	SMED30027272	-1.0777271	-0.89340395	-0.045822565	0.9627421	1.0542115
837	SMED30028798	-0.9705604	-0.98092216	-0.090016685	0.976922	1.0645772
840	SMED30029047	-0.9739072	0.3609822	-1.0167524	0.2859307	1.3437467
842	SMED30029125	-0.9102213	-0.9625159	-0.21802685	1.1224457	0.96831834
848	SMED30029592	-1.0313847	-0.8738937	-0.10206629	0.73217505	1.2751696
851	SMED30029687	-0.94603795	-0.8495112	-0.12460955	0.4480682	1.4720905
870	SMED30030599	-0.78699446	-0.90644866	-0.24139306	0.40664884	1.5281874
895	SMED30031431	-1.268818	-0.5472712	-0.16809379	0.7754714	1.2087116
901	SMED30031645	-0.7373199	-1.0064931	-0.3816562	0.9233425	1.2021266
924	SMED30032722	-0.8539398	-0.7275036	-0.5399494	0.74460596	1.3767868
929	SMED30032778	-1.041052	-0.85062677	-0.18400332	0.9900942	1.0855879
943	SMED30033092	-1.1001723	-0.88651174	0.04345298	0.7331243	1.2101067
954	SMED30033501	-1.0881029	-0.8652428	-0.075700104	1.0541627	0.9748831
959	SMED30033688	-1.1034982	-0.68266845	-0.25741142	0.73728156	1.3062966
1040	SMED30000069	-0.6361041	-0.93851423	-0.4625054	0.5571972	1.4799266
1046	SMED30000103	-0.70064956	-0.32624793	-1.0834136	1.0222857	1.0880253
1049	SMED30000110	-0.17021938	-0.2180274	-1.4774672	0.92460734	0.9411066
1070	SMED30000293	-0.9098317	-0.7869701	-0.41368362	0.77714586	1.3333396
1082	SMED30000377	-1.0559112	-0.8630264	-0.0061982004	0.58367157	1.3414642
1094	SMED30000475	-0.94452876	-0.96603596	-0.15837936	0.966314	1.1026301
1121	SMED30000699	-1.1894264	-0.70750713	-0.11288642	0.84325093	1.166569
1128	SMED30000763	-0.7849555	-1.0767121	-0.18666951	0.8098697	1.2384675
1130	SMED30000773	-0.8455366	-0.97088087	-0.17488985	0.58993244	1.4013748
1148	SMED30000887	-1.2235734	-0.17006232	-0.6213506	0.83751476	1.1774715
1174	SMED30001071	-1.1793859	-0.7888637	0.10749146	0.58110994	1.2796483
1191	SMED30001153	-0.7178302	-0.8644349	-0.5907778	1.2035595	0.9694834
1196	SMED30001211	-0.9461347	-0.77107	-0.2765416	0.52448934	1.4692569
1204	SMED30001263	-0.053570505	-0.74349225	-0.14389816	-0.7503674	1.6913283
1217	SMED30001353	-1.4202069	0.37199312	-0.0522075	-0.23606035	1.3364817
1233	SMED30001483	-1.1622428	-0.7619464	0.06769723	0.5154714	1.3410205
1240	SMED30001520	-0.8220977	-1.0687418	0.04484792	0.43509603	1.4108956
1269	SMED30001721	-0.0899672	-0.20001647	-1.2768692	0.043835185	1.5230176
1273	SMED30001742	-1.312507	-0.09522558	-0.36176205	0.3500372	1.4194574
1275	SMED30001759	-0.7917457	-0.67117566	-0.7259718	1.0944467	1.0944467
1289	SMED30001861	-0.76628065	-0.8059197	-0.5657477	0.7880592	1.3498888
1295	SMED30001900	-0.86454266	1.3293629	-1.0970577	0.5185574	0.11368
1298	SMED30001935	-0.98214877	-1.0227649	0.014576824	0.93035126	1.0599856
1314	SMED30002027	-0.81809944	-0.76302075	-0.5966619	0.9860808	1.1917013
1324	SMED30002082	-0.9607379	-0.8566198	-0.28858778	0.9073719	1.1985736
1334	SMED30002172	-0.4163015	-0.9520112	-0.5152196	0.27803826	1.605494
1336	SMED30002175	-0.7321955	-0.5712663	-0.804659	0.6880127	1.4201081
1346	SMED30002239	-1.5969738	1.0696579	-0.09066626	0.53957254	0.07840958
1349	SMED30002259	-0.9187867	-1.0767924	0.09513972	0.6490033	1.2514361
1402	SMED30002570	-0.8906866	-0.631041	-0.6448221	1.2344377	0.93211204
1408	SMED30002634	-0.9060998	-0.9330298	-0.25022325	0.8670119	1.222341
1441	SMED30002835	-1.0221443	-0.9175611	-0.10931312	0.99199384	1.0570247
1445	SMED30002856	-1.1275781	0.9469532	-1.0150529	0.80603594	0.389642
1450	SMED30002910	-0.8843699	-0.97182786	-0.23874599	0.9424806	1.1524631
1478	SMED30003154	-0.7715732	-1.1121324	-0.10329271	0.6909387	1.2960596
1483	SMED30003169	-0.9640291	-0.81104535	-0.11166471	0.38637215	1.5003669
1513	SMED30003346	-1.0313109	-0.51224834	-0.5946161	0.93768346	1.2004919
1527	SMED30003447	-0.7802403	-1.0734124	-0.102844745	0.5817058	1.3747916
1532	SMED30003468	-0.9985715	-1.0053859	0.009122132	0.9636012	1.031234
1535	SMED30003489	-0.6635502	-0.6851115	-0.47865188	0.1417506	1.685563
1542	SMED30003520	-0.9253333	-0.94487125	-0.19226757	0.82253295	1.2399392
1568	SMED30003708	-0.5665335	0.011676025	-0.7310125	-0.43358564	1.7194556
1580	SMED30003798	-0.21237993	0.028544871	-1.4808218	0.3989088	1.2657481
1641	SMED30004210	-0.86240685	-0.77277446	-0.53636575	1.168167	1.0033801
1653	SMED30004327	-1.0976504	-0.87778956	-0.029563144	0.9195663	1.0854368
1662	SMED30004401	-1.1224957	0.70866036	0.2864637	-0.9725648	1.0999365
1664	SMED30004421	-0.80939704	-1.0029265	-0.25896502	0.7838167	1.2874718
1668	SMED30004437	-1.0287454	-0.87669414	-0.10111313	0.72965294	1.2768997
1701	SMED30004618	-0.94235045	-0.74769044	-0.3076633	0.5177768	1.4799274
1708	SMED30004667	-0.59859437	-0.67429405	-0.36229625	-0.109456524	1.7446412
1724	SMED30004774	-0.46909142	-0.57649904	-0.40719825	-0.3287109	1.7814996
1728	SMED30004803	-0.23460837	-0.6382017	-0.6228609	-0.2599309	1.7556019
1729	SMED30004805	-0.3468703	-0.9815215	-0.5056615	0.21748134	1.6165719
1742	SMED30004877	-1.2176536	-0.7604436	0.016639795	0.89380825	1.0676492
1748	SMED30004897	-1.086081	-0.7506662	-0.15379427	0.6402019	1.3503397
1751	SMED30004906	-1.0459406	-0.9571839	0.024728801	0.86236936	1.1160264
1777	SMED30005071	-0.92141134	-0.8194406	-0.36756712	0.8075346	1.3008845
1784	SMED30005123	-1.0538703	-0.5874571	-0.49884024	1.0188437	1.121324
1796	SMED30005173	-0.33095455	-0.3902832	-1.0830733	0.2175639	1.586747
