p_val avg_logFC pct.1 pct.2 p_val_adj
SMED30026267 0 1.71224923881433 0.23 0.023 0
SMED30009873 0 1.59605076270753 0.204 0.022 0
SMED30008091 0 1.33745528695886 0.443 0.083 0
SMED30008024 0 0.774876725665292 0.581 0.268 0
SMED30002314 0 0.706601193315537 0.457 0.106 0
SMED30000316 0 0.670734879430086 0.493 0.196 0
SMED30005965 0 0.587843718126261 0.582 0.299 0
SMED30015808 0 0.515134893743567 0.916 0.805 0
SMED30022157 0 0.367973152288816 0.238 0.031 0
SMED30013522 0 0.300639029951697 0.19 0.015 0
SMED30031105 0 0.275557005462177 0.997 0.993 0
SMED30019959 0 0.275070939814765 1 0.999 0
SMED30027307 0 -0.709594589824238 0.103 0.467 0
SMED30010375 2.5120194212604e-294 0.222580029208077 0.998 0.999 5.50584416751855e-290
SMED30001563 4.36875861978289e-284 -0.478576100970692 0.504 0.672 9.57544514284015e-280
SMED30034174 5.85931171734946e-284 0.250522415075104 0.156 0.009 1.28424394220865e-279
SMED30031751 1.52431918404395e-282 0.435010525651515 0.679 0.457 3.34100278758753e-278
SMED30027500 2.21177499973937e-281 1.43864589033995 0.164 0.013 4.84776844442875e-277
SMED30019874 4.01044079818293e-279 -0.591813075839949 0.53 0.711 8.79008414145736e-275
SMED30019092 5.54711933472588e-269 -0.459581372857239 0.172 0.396 1.21581761578522e-264
SMED30019910 1.82063881038866e-258 0.458121655390975 0.575 0.36 3.99047614460987e-254
SMED30012412 1.14966899993118e-251 0.325523554049595 0.334 0.118 2.51984451404916e-247
SMED30031308 2.69866885987443e-243 0.223675010038804 1 1 5.91494240707278e-239
SMED30027672 3.82313938669853e-243 0.516964520188607 0.678 0.466 8.37955690776583e-239
SMED30029256 1.17762847640961e-238 0.337268758508055 0.244 0.064 2.58112609459459e-234
SMED30027302 1.32984371369908e-238 -0.551263175930825 0.277 0.503 2.91475145168565e-234
SMED30012579 1.0485654157989e-230 -0.488165556885515 0.276 0.471 2.29824567834804e-226
SMED30000745 5.00408017598148e-230 0.272461160134009 0.159 0.021 1.09679429297162e-225
SMED30025868 2.28929306715507e-229 0.480610660615529 0.543 0.312 5.01767254459049e-225
SMED30025793 2.53071648464138e-228 0.459381114902581 0.563 0.335 5.54682439103698e-224
SMED30014462 1.09211308231505e-223 0.390308223758722 0.325 0.125 2.39369345381812e-219
SMED30006792 9.36578547084847e-222 0.411442031871062 0.424 0.209 2.05279285950057e-217
SMED30007095 3.52780394415455e-219 0.385183080017417 0.892 0.776 7.73224068479794e-215
SMED30006394 1.09475348117558e-218 0.237521749265591 0.166 0.027 2.39948068004064e-214
SMED30027180 2.77632389856748e-217 0.227283285938798 0.134 0.012 6.08514672088021e-213
SMED30014469 2.30720889635234e-213 -0.448452925104063 0.378 0.59 5.05694045902505e-209
SMED30001215 6.00775648363509e-204 0.243832470378903 0.162 0.028 1.31678006608314e-199
SMED30008485 2.11356658618009e-203 0.376271865920001 0.423 0.227 4.63251524358953e-199
SMED30016871 1.52016158335672e-202 -0.244796584908588 0.146 0.02 3.33189015840126e-198
SMED30014511 4.84138249287076e-189 0.266040522485845 0.282 0.106 1.06113421478741e-184
SMED30035617 1.94476538587586e-188 0.418433539212382 0.826 0.683 4.26253677276272e-184
SMED30000129 4.54462084684407e-183 0.079521753299507 0.175 0.038 9.96089997211284e-179
SMED30027552 1.50045999376206e-181 0.198459812285741 0.136 0.02 3.28870821432769e-177
SMED30014140 2.86337188947504e-174 0.287792311864676 0.936 0.865 6.27593850735139e-170
