Original row	Sample	0h	6h	3d	7d	11d
81	SMED30000562	-0.30196014	-1.3764193	0.40517622	1.3575728	-0.08436963
94	SMED30000643	-0.9859741	-0.99349433	0.4576934	1.3411639	0.18061115
96	SMED30000646	-0.95770633	-0.8152708	0.11322719	1.5467874	0.112962514
255	SMED30001545	-0.86539966	-0.30019298	-0.031994537	1.7039715	-0.5063843
407	SMED30002367	-1.1587961	-0.75058436	0.3587177	1.3929311	0.15773155
608	SMED30003443	-1.295891	-0.70713717	0.22292899	1.1954589	0.58464026
654	SMED30003698	-1.1062042	-0.59065855	0.05460926	1.5545961	0.087657414
758	SMED30004277	-0.93471766	-0.6902336	0.2873524	1.5833277	-0.24572882
857	SMED30004845	-1.1565319	-0.74791616	0.2549791	1.4068285	0.2426405
870	SMED30004923	-1.1379583	-0.96654767	0.35337177	1.1129799	0.63815427
1133	SMED30006295	-0.53429204	-1.2971447	0.4860778	1.3400177	0.0053412635
1203	SMED30006755	-0.5988989	-0.4821179	0.015626954	1.7245654	-0.6591756
1222	SMED30006838	-1.2733679	-0.81818366	0.3067443	0.9978767	0.78693056
1332	SMED30007515	-0.7204285	-0.95401406	0.5848182	1.449021	-0.35939658
1371	SMED30007705	-1.2524377	-0.7265856	0.029262189	0.94461113	1.0051501
1394	SMED30007845	-1.1526048	-0.79162717	0.28294677	1.3713992	0.28988603
1427	SMED30008024	-1.1986545	-0.854059	0.18184929	1.0946094	0.77625483
1431	SMED30008033	-0.78381425	-0.96680367	0.23634157	1.5472497	-0.032973304
1576	SMED30008904	-1.2869226	-0.6037458	-0.084108084	0.88161516	1.0931613
1636	SMED30009212	-0.5453282	-1.4575962	0.70515186	0.9943459	0.30342656
1651	SMED30009295	-1.1321635	-0.860247	0.012022454	0.8978144	1.0825737
1715	SMED30009709	-1.21171	-0.7364317	0.3637196	1.3408178	0.24360421
1795	SMED30010176	-1.3926973	-0.4787904	-0.035640646	1.0287781	0.8783503
1800	SMED30010203	-1.199577	-0.9187617	0.39261916	1.0548081	0.6709113
1951	SMED30011058	-0.9940392	-0.9828204	0.13945471	1.3300868	0.507318
1962	SMED30011154	-0.8914311	-0.75360924	0.034619536	1.6235923	-0.013171477
1981	SMED30011281	-1.0948973	-0.87876666	0.24946262	1.352153	0.37204844
2001	SMED30011408	-1.1675522	-0.75957525	0.16548747	1.3711227	0.3905173
