Original row	Sample	0h	6h	3d	7d	11d
86	SMED30000581	-0.99342203	1.277174	0.46026728	0.29631332	-1.0403326
264	SMED30001604	-1.0945288	1.477439	0.48607478	-0.4861871	-0.3827979
265	SMED30001608	0.5644899	1.4781837	-0.5640514	-0.5331458	-0.9454765
284	SMED30001666	0.32452866	0.99360764	-0.30507752	0.5661329	-1.5791917
379	SMED30002228	0.1349248	1.6931546	-0.5985765	-0.6358511	-0.59365183
380	SMED30002246	-0.2665636	1.7488306	-0.23911066	-0.76413125	-0.4790251
415	SMED30002427	0.28476378	1.5485634	-0.15147483	-0.63647217	-1.0453801
566	SMED30003205	-0.9871397	1.3057264	-0.38423896	0.79795325	-0.73230106
639	SMED30003613	1.0849202	1.0680251	-0.5875378	-1.0191563	-0.5462512
649	SMED30003675	-0.45312238	1.2987165	0.5228103	-0.013971185	-1.3544333
668	SMED30003798	-0.75492734	1.4543877	-0.11703326	0.46096125	-1.0433884
779	SMED30004403	-1.0017757	1.6291635	-0.5822884	-0.055675782	0.010576394
932	SMED30005248	0.8965138	1.1658766	-0.16335179	-0.88978195	-1.0092566
941	SMED30005322	1.2156167	0.9310728	-0.557813	-0.59200317	-0.9968734
973	SMED30005541	0.914994	0.9524547	-0.047216706	-0.36387226	-1.4563597
1122	SMED30006254	-0.65319806	1.5315138	0.49421254	-0.54198223	-0.83054614
1229	SMED30006905	0.72319865	1.3640132	-0.9176943	-0.37215224	-0.79736537
1274	SMED30007161	0.25344887	1.5555309	-0.09557522	-0.9964794	-0.71692514
1323	SMED30007456	-0.71449757	1.5399969	-0.2090627	0.3566872	-0.9731238
1366	SMED30007674	0.9728254	1.086937	-0.16512443	-1.1055691	-0.7890689
1436	SMED30008050	-0.8174983	1.1981435	0.8288267	-0.11597024	-1.0935017
1455	SMED30008151	0.47412172	1.1053631	0.10082107	-0.087988704	-1.5923172
1458	SMED30008167	0.13295794	1.5605168	-0.9752389	-0.770267	0.052031092
1513	SMED30008543	-0.685162	0.9984736	-0.8402337	-0.6554479	1.1823701
1652	SMED30009301	-0.27968246	1.7595736	-0.24260381	-0.64493066	-0.5923567
1793	SMED30010163	-1.187711	1.5205251	0.07992008	0.09841496	-0.51114905
1806	SMED30010239	-1.1193976	1.5712408	0.22360073	-0.33315045	-0.34229344
1875	SMED30010627	-0.9775694	1.0357577	-0.74154663	-0.42909425	1.1124526
1956	SMED30011111	-0.30103543	1.6081555	-1.1421779	-0.13267064	-0.032271452
2019	SMED30011519	0.6041631	0.51852494	0.19923821	0.44643888	-1.7683651
2027	SMED30011568	0.51879174	1.3314595	-0.9470216	0.11992196	-1.0231516
2052	SMED30011735	-0.24431595	1.7243363	-0.16307394	-0.849794	-0.46715236
2116	SMED30012056	-1.2556621	1.3895377	0.14094098	0.32889155	-0.60370815
2127	SMED30012145	0.27896565	0.7572087	0.4621975	0.25396594	-1.7523378
2169	SMED30012361	-0.9709048	1.5122615	-0.6673747	-0.33516172	0.4611797
2305	SMED30013108	0.42761216	1.1021699	0.3046749	-0.27421737	-1.5602396
2360	SMED30013408	0.90557086	1.2613286	-0.6312733	-0.6922757	-0.8433504
2414	SMED30013727	-0.61913955	1.4119875	-0.7248348	0.7060133	-0.77402645
2484	SMED30014121	-0.7496257	1.626142	0.25610176	-0.3580743	-0.7745438
2488	SMED30014149	0.028276803	1.6651313	-0.25473547	-0.9710885	-0.46758413
2493	SMED30014190	-0.8358936	1.164545	-0.54398197	1.009335	-0.79400456
2514	SMED30014305	-0.2633469	1.7146194	-0.33169615	-0.91614527	-0.20343113
2593	SMED30014707	-0.9990884	1.4587688	0.57047594	-0.60931766	-0.42083865
2609	SMED30014783	0.10438217	1.6131378	-0.06425867	-0.91642237	-0.736839
2695	SMED30015232	-1.1355901	1.6047571	0.017540399	-0.15268888	-0.3340185
2724	SMED30015413	0.13528317	1.6342434	-0.36197817	-0.39610347	-1.0114449
2742	SMED30015527	-0.7283437	1.7603678	-0.42425007	-0.24939814	-0.35837582
2823	SMED30016031	-0.8664401	1.2274091	-0.0073330947	0.7397424	-1.0933782
2846	SMED30016207	-0.34947547	1.785231	-0.49881625	-0.5076626	-0.42927662
2916	SMED30016690	-1.1065753	1.5646932	-0.45494744	-0.24678324	0.24361266
2991	SMED30017123	-1.366088	1.139753	-0.46447557	-0.09072513	0.7815357
3212	SMED30018297	1.0582125	1.0520059	-0.31023136	-0.73080504	-1.069182
3246	SMED30018505	0.45545277	1.4946345	-0.22695333	-0.96769726	-0.7554367
3349	SMED30019098	-0.49840206	1.5388882	0.29006866	-1.1202997	-0.21025516
3488	SMED30019856	0.63484937	1.2864751	-0.72799665	-0.005075477	-1.1882522
3514	SMED30019984	0.0654795	1.3245144	-1.2869241	0.4869298	-0.58999956
3606	SMED30020539	0.21018559	1.1836774	-1.4032731	-0.5363633	0.54577345
3713	SMED30021210	0.32808876	1.3191161	0.35973173	-0.93643737	-1.0704993
3741	SMED30021366	0.4297498	0.6944302	0.6246854	-0.033723187	-1.7151421
3781	SMED30021590	-0.06055693	0.9941449	0.19894439	0.5124171	-1.6449494
3844	SMED30021960	-0.82446885	1.3721292	-0.664271	0.7616749	-0.64506423
