Sample	0h	6h	3d	7d	11d
SMED30008349	8.80066	7.08745	11.0813	13.249	10.6337
SMED30008361	23.0465	21.3874	17.6597	26.7738	22.1125
SMED30008364	4.53699	4.3241	5.16578	6.00197	6.06377
SMED30008371	4.62569	4.31542	4.67085	5.6955	5.38799
SMED30008379	8.09838	9.64879	12.8187	14.497	13.4647
SMED30008388	10.2729	9.09132	9.43951	16.331	13.3458
SMED30008393	7.62933	7.03197	8.24187	12.0106	9.31026
SMED30008405	11.6711	11.946	11.0864	14.3919	12.8216
SMED30008419	9.84605	8.55189	10.0906	8.61236	10.8774
SMED30008425	7.35882	7.81008	11.3554	11.1057	10.62
SMED30008434	16.2411	16.3334	15.472	17.8704	21.7006
SMED30008439	13.7175	33.9228	24.9972	32.4309	40.5069
SMED30008446	10.8958	10.6184	11.3814	11.446	16.2379
SMED30008453	16.7926	15.3921	17.9957	17.265	18.0476
SMED30008468	10.646	14.0047	14.3307	9.47789	11.7888
SMED30008473	5.58907	5.88264	5.5566	4.96532	5.21108
SMED30008486	13.7468	14.3156	24.0122	24.5865	22.4018
SMED30008487	10.9069	13.6054	15.3175	19.8505	13.5147
SMED30008496	10.0079	5.99116	11.4741	10.9747	10.1618
SMED30008511	5.79002	5.91428	9.48321	14.3544	10.4051
SMED30008513	14.729	15.1251	17.0282	21.3444	17.4995
SMED30008516	9.2902	8.65218	10.5598	12.8315	11.479
SMED30008521	14.3011	20.5562	12.4544	15.1659	10.1113
SMED30008529	9.53418	6.91387	7.58023	11.8052	10.2979
SMED30008543	4.09977	4.95195	4.02128	4.11481	5.04503
SMED30008550	12.6037	14.2868	19.1562	13.3206	13.9955
SMED30008553	4.21413	3.35035	3.7838	3.70337	3.51572
SMED30008556	8.61453	11.5733	12.5186	7.9024	7.72281
SMED30008560	2.45052	2.50976	2.13435	1.72635	1.89536
SMED30008565	11.598	10.3762	14.3613	13.9072	16.0736
SMED30008568	7.79537	11.2272	11.9485	8.48861	7.22147
SMED30008578	13.0111	12.0523	11.9874	14.9614	13.53
SMED30008580	9.12293	8.63086	9.846	11.08	12.9078
SMED30008585	13.2245	12.4947	13.4542	16.7008	13.1575
SMED30008586	4.35625	3.57977	3.79356	4.54177	4.12881
SMED30008591	11.0137	11.8667	15.6054	11.0434	10.8972
SMED30008600	12.9036	14.426	8.47257	11.2381	18.4283
SMED30008601	15.6813	12.6767	17.7253	17.1352	15.6256
SMED30008612	13.6332	13.583	18.394	18.9555	16.4364
SMED30008618	9.7085	10.2468	11.4482	12.4161	11.8851
SMED30008623	3.75117	3.07212	2.81174	3.63619	3.44402
SMED30008628	14.937	12.1822	18.3314	18.9767	19.4231
SMED30008632	7.54006	7.29109	10.1287	8.13141	11.5187
SMED30008633	11.377	10.2013	10.6772	9.34815	10.0107
SMED30008645	2.66148	3.0727	3.66198	4.37035	3.42371
SMED30008651	10.1707	10.0347	11.7715	11.8028	9.86591
SMED30008654	4.98626	5.00639	5.37507	8.11257	6.3691
