Sample	0h	6h	3d	7d	11d
SMED30003602	0	0.0942162	0	0	0.0335887
SMED30003603	4.57061	4.04188	6.48015	7.38893	7.98948
SMED30003604	0.873598	1.00249	0.607544	0.670196	0.610592
SMED30003605	12.7616	13.5033	16.0165	15.1209	13.9304
SMED30003606	2.75363	2.95098	3.15844	4.34932	4.49083
SMED30003607	3.91599	3.18393	0.039744	0	0.0085313
SMED30003608	0.0810257	0.100426	0.105979	0.105762	0.0983144
SMED30003609	85.2603	88.4724	83.1523	88.0292	85.5164
SMED30003610	1.57813	1.79792	1.32169	1.19278	1.02121
SMED30003611	13.375	14.338	11.2229	10.7557	10.698
SMED30003612	0	0	0	0	0.0131737
SMED30003613	146.405	132.753	148.535	235.656	232.873
SMED30003614	0.512139	0.533919	0.64977	0.90254	0.82095
SMED30003615	0.109766	0.19516	0.186989	0.0216466	0.334218
SMED30003616	0.0774867	0.478452	8.49431	1.92046	1.51701
SMED30003617	17.7732	18.5062	19.9635	21.4061	21.8593
SMED30003618	19.5686	22.5949	22.9321	19.0097	18.6748
SMED30003619	0	0	0.0113747	0	0
SMED30003620	1.20671	0.931863	0.765254	0.637319	0.736462
SMED30003621	0.100016	0.072772	0.0443037	0.285324	0.0724682
SMED30003622	0.470747	0.300893	0.350053	0.398831	0.384649
SMED30003623	52.9944	54.7294	55.2541	49.8672	47.9882
SMED30003624	0.736679	0.475675	0.952099	0.859095	0.696359
SMED30003625	3.03567	3.1665	6.4397	4.67828	3.68636
SMED30003626	5.05779	5.25942	5.09239	3.44765	3.72985
SMED30003627	1.69625	1.91772	1.95418	1.60905	1.49423
SMED30003628	3.59232	3.63697	4.16269	3.05671	3.46333
SMED30003629	8.75221	8.94378	10.5407	14.0061	14.4516
SMED30003630	57.332	49.6067	65.7657	22.2695	27.9359
SMED30003631	7.71085	7.43232	0.341108	0.0630466	0.160921
SMED30003632	0.128457	0.0848553	0.0593821	0.070404	0.104809
SMED30003633	0.0325081	0.0848617	0.0584347	0.120781	0.0491725
SMED30003634	49.6657	40.315	0.344314	0.029623	0.0172001
SMED30003635	1.28393	1.07767	0.120824	0.050219	0.0617661
SMED30003636	2.34839	2.24475	2.91451	3.33997	3.48864
SMED30003637	0.0448334	0.015505	0.0716743	0.103285	0.0923723
SMED30003638	8.84371	8.23046	8.873	8.75281	8.9885
SMED30003639	0.277003	0.416404	0.52065	0.363493	0.769217
SMED30003640	4.38015	3.69797	4.28512	6.97512	7.93663
SMED30003641	0.3462	0.287719	0.0565351	0.0817507	0.0263234
SMED30003642	2.8793	3.19437	1.85762	1.96129	1.57555
SMED30003643	2.04965	1.98729	2.50316	1.52863	1.27598
SMED30003644	0	0	0.00266763	0	0
SMED30003645	12.3072	11.9348	12.0141	11.8236	10.9674
SMED30003646	0.175259	0.122136	0.0696672	0.193654	0.0547901
SMED30003647	3.49777	3.99401	2.98244	0.596687	0.334641
SMED30003648	2.61174	2.33409	2.39159	2.38816	2.77567
SMED30003649	0.577175	0.613194	0.124121	0.118909	0.0865393
SMED30003650	0.0183312	0.00697563	0.0762096	0.0142603	0.0383741
SMED30003651	30.1202	33.5672	36.6181	25.7167	26.2297
SMED30003652	0.337356	0.328449	0.319499	0.218084	0.376522
SMED30003653	3.5607	3.39103	1.37187	1.22331	1.89169
SMED30003654	0.937109	0.856304	1.55416	1.04095	1.2354
SMED30003655	6.00643	6.48276	7.3806	4.53609	5.33888
SMED30003656	14.361	15.1312	17.3411	15.6398	14.7973
SMED30003657	3.14053	2.77496	1.14917	0.786892	0.702541
SMED30003658	14.6043	11.2769	1.40046	0.944321	0.666307
SMED30003659	0.0182825	0.0259786	0.0409742	0.101732	0.0609069
SMED30003660	5.84719	6.18871	8.33428	5.29278	5.41826
SMED30003661	7.04497	6.8211	8.32802	8.28281	7.97664
SMED30003662	19.6219	19.7511	21.3115	20.9589	20.8507
SMED30003663	1.08251	0.661916	0.783655	1.02334	1.47685
