Sample	0h	6h	12h	1d	2d	3d	5d	7d	9d	11d
SMED30014378	22.1055	24.3508	20.8176	23.0535	29.118	29.1505	23.5347	25.2216	21.453	24.7322
SMED30014379	81.3363	89.2682	79.2566	87.434	85.3308	81.2717	87.871	90.3492	85.77	84.2671
SMED30014380	0.307422	0.262774	0.172938	0.210267	0.278399	0.17373	0.425524	0.350238	0.566237	0.559416
SMED30014381	0.875722	0.952846	0.509163	0.195636	0.189322	1.28656	0.165937	0.748422	0.164275	0.950963
SMED30014382	17.7475	30.7945	22.2641	24.9721	31.0872	32.7329	24.3667	24.3021	21.0128	24.1589
SMED30014383	9.49594	8.43424	9.04884	2.86899	0.382575	0.292161	0.201031	0.123933	0.270948	0.162372
SMED30014384	0	0.0837301	0	0	0	0.0283472	0	0	0	0.055414
SMED30014385	0	0	0	0	0	0	0	0	0	0
SMED30014386	0.142838	0.143507	0.0565059	0	0.169634	0.101655	0.100582	0	0.0786716	0.146164
SMED30014387	0	0	0	0	0	0	0	0	0	0
SMED30014388	0.170488	0.201737	0.330249	0.282353	0.473506	0.239003	0.463395	0.609626	0.388501	0.26727
SMED30014389	0	0	0	0	0	0	0	0	0.00643323	0
SMED30014390	57.1252	52.1873	62.879	63.4485	62.2444	57.0798	70.8252	68.1539	73.7063	64.1161
SMED30014391	6.44061	4.63499	3.60436	2.11662	1.68279	1.77717	2.16069	3.19573	3.40724	2.38382
SMED30014392	20.4379	22.6685	19.0244	19.5587	24.6885	24.6522	22.2613	23.6493	20.2994	22.2135
SMED30014393	0.245243	0.377562	0.620321	0.226588	0.618311	0.589718	0.474527	0.464974	0.634914	0.368279
SMED30014394	16.09	14.8738	16.6013	17.6963	20.3346	17.5009	13.9735	13.3375	13.0123	12.6696
SMED30014395	0	0	0	0	0	0	0	0.02675	0	0.0165141
SMED30014396	0.745958	0.937635	0.848676	1.19384	1.5518	1.52307	2.55417	1.97453	2.2378	2.17402
SMED30014397	11.4089	9.35672	12.1888	14.4085	12.52	11.2827	14.1058	12.7993	17.5226	16.4204
SMED30014398	1.50698	1.46846	1.47627	1.31993	1.52328	1.0606	1.65303	1.09369	1.51354	1.38792
SMED30014399	6.5745	5.61806	6.49927	1.904	0.158156	0.206738	0.0773987	0.0674928	0.0798292	0.0964579
SMED30014400	0.0194453	0.045782	0.0641382	0.173382	0.0798793	0.06581	0	0.045579	0.173784	0.0178613
SMED30014401	0.0418697	0	0.0665337	0.0170362	0.0375063	0	0.0752086	0.03837	0.0420847	0.0571102
SMED30014402	3.5421	7.38748	7.1402	9.05625	13.2308	10.3138	9.43207	7.97055	6.48653	5.79452
SMED30014403	0.0041353	0.0101623	0.00491323	0.00483463	0.00424687	0	0.00789887	0.00497587	0.0152031	0
SMED30014404	0.792924	0.704945	0.506	0.303008	0.561558	0.6178	0.568186	0.70946	0.745468	0.612585
SMED30014405	39.3825	43.9773	33.2186	35.5597	41.0751	43.6486	35.6975	40.7869	32.4149	38.1401
