Original row	Sample	0h	6h	3d	7d	11d
14	SMED30000015	-1.2375507	-0.10882812	-0.57440233	1.3358811	0.5849001
52	SMED30000053	-0.750782	-1.1197913	0.122517906	1.4395072	0.30854812
57	SMED30000058	-0.6711121	-1.1621675	-0.07845562	1.3833334	0.52840185
97	SMED30000098	-1.0915154	0.7302939	-1.0993664	0.7302939	0.7302939
150	SMED30000153	-0.5467401	-0.7718045	-0.7988029	0.7227224	1.3946252
191	SMED30000196	-0.59470797	-1.3281336	0.039119765	0.71093917	1.1727825
203	SMED30000208	-0.54351574	-0.3742136	-1.0136656	1.5453067	0.3860882
217	SMED30000223	-1.0778922	-0.71295315	-0.075431585	0.39338794	1.4728891
236	SMED30000242	-0.7362698	-0.8867588	-0.5427269	1.2089036	0.95685184
238	SMED30000244	-1.1546522	-0.80372834	-0.011036636	0.7829973	1.18642
310	SMED30000318	0.92198104	-1.0557085	-0.15011701	1.1350516	-0.8512071
350	SMED30000360	-0.8003841	-0.9039774	-0.4399791	1.2295399	0.9148007
393	SMED30000403	-0.30995616	-1.0599828	-0.6857642	1.341805	0.7138982
398	SMED30000408	-0.3863263	-0.47105533	-0.4545418	1.7877035	-0.4757801
430	SMED30000440	-0.8648473	-0.7798391	-0.52919924	1.0651604	1.1087253
452	SMED30000463	-0.7224767	-0.54639363	-0.47347242	1.7189409	0.023401985
479	SMED30000491	-0.62125474	-1.0859772	-0.39737535	0.8760892	1.2285181
688	SMED30000707	-0.7568594	-0.6352298	-0.7072105	1.4496313	0.6496684
728	SMED30000747	0.5526412	-0.12721191	-1.4265121	1.256314	-0.25523123
733	SMED30000752	-0.8956685	-1.0945091	-0.0017146495	0.9064822	1.08541
736	SMED30000756	-1.0380712	-1.0176439	0.14630835	1.1004527	0.8089542
757	SMED30000777	-0.4144946	-0.685493	-0.96959144	1.4066815	0.6628975
765	SMED30000785	-0.71468145	-1.114765	-0.21880998	0.79943454	1.2488219
777	SMED30000797	0.025561253	-1.3593503	-0.57380205	0.9162946	0.9912965
828	SMED30000852	-0.44759434	-0.9613239	-0.6547217	0.63335407	1.4302859
829	SMED30000853	-0.6680066	-1.1815068	-0.1780453	0.82588035	1.2016783
899	SMED30000924	-0.24448954	-0.9371447	-0.92172194	1.0650904	1.0382658
902	SMED30000927	0.48146525	-0.22657436	-1.1934726	1.4315826	-0.49300084
912	SMED30000937	-1.245841	0.8954074	-0.8992274	0.45647132	0.7931897
940	SMED30000967	-0.49148297	-0.88687754	-0.7859453	1.1598477	1.004458
982	SMED30001009	-0.679776	-0.7074135	-0.73111266	0.6990518	1.4192504
983	SMED30001010	-1.0232937	-0.97827	0.021625452	1.1228453	0.85709304
998	SMED30001025	-1.0987128	0.73029476	-1.0921715	0.73029476	0.73029476
1009	SMED30001036	-0.87217885	-0.345794	-0.90184075	1.2325467	0.88726693
1050	SMED30001078	-0.8693119	-0.83113825	-0.2573427	1.5131269	0.44466612
1054	SMED30001082	-1.108708	-0.6914164	-0.235606	1.305181	0.73054934
1066	SMED30001095	-0.58146065	-1.2293236	-0.21045138	0.83217984	1.1890558
1204	SMED30001233	-0.8814755	-1.0023776	0.22490841	1.4586017	0.20034304
1231	SMED30001260	-0.44453588	-0.45209846	-0.45331842	1.7888236	-0.43887076
1235	SMED30001264	-1.1387748	-0.63846093	-0.31773183	1.0384895	1.056478
