Sample	0h	6h	3d	7d	11d
METTL3	11.17	11.0896	13.5922	11.1711	12.2822
METTL14	17.3254	16.9819	21.652	20.7585	19.7272
WTAP	27.2472	30.7422	33.4214	35.9866	32.2624
KIAA1429	8.92485	9.47088	10.5504	9.01782	9.22566
RBM15	14.8998	15.7767	18.2559	20.5867	17.8083
YTHDC1	40.0402	40.0902	47.5787	48.8079	49.7767
YTHDC2	2.39871	2.10164	0.314703	0.141085	0.184147
YTHDF1	19.1214	18.8432	20.3363	18.8444	19.9734
