Sample	0h	6h	3d	7d	11d
SMED30024037	2.92999	3.10855	3.26714	2.8329	3.3959
SMED30024051	0.0260784	0.0561	0.0355631	0.0131347	0.0677923
SMED30024061	1.32567	1.49268	1.98347	2.4567	2.43752
SMED30024082	131.739	130.194	135.029	139.344	150.079
SMED30024083	0	0.044766	0.098066	0	0
SMED30024100	1.38992	1.65571	1.13186	0.73968	0.534021
SMED30024117	1.14395	1.24955	1.09857	1.62992	1.6083
SMED30024125	1.53395	1.70871	2.3779	2.98169	3.61867
SMED30024129	9.01279	9.65072	9.81036	10.6676	11.2371
SMED30024135	1.15449	1.01919	1.27975	1.61417	1.54412
SMED30024137	0.021648	0.0392988	0.0435338	0.150538	0.151203
SMED30024169	14.2682	14.6938	16.9792	12.242	10.8546
SMED30024188	8.36617	8.8193	6.84503	5.06909	3.66408
SMED30024198	0.949455	0.867356	0.881883	1.21218	1.2135
SMED30024206	0.640517	0.943377	0.970651	1.05138	1.06524
SMED30024212	4.44823	3.85077	4.14083	4.49825	4.61811
SMED30024216	1.26535	1.25355	1.47273	1.57219	1.64971
SMED30024218	0.0589999	0.05149	0.0398918	0.0281258	0.014834
SMED30024222	0.0336447	0.028304	0.124646	0	0.092612
SMED30024227	0.136916	0.0566971	0.0773909	0.264733	0.569602
SMED30024255	3.11079	2.96953	4.55404	5.02798	5.39216
SMED30024273	0.654371	0.740095	0.53918	0.66991	0.791084
SMED30024277	0.503461	0.638552	0.491829	0.180774	0.122872
SMED30024278	3.98354	4.38775	5.99513	6.99683	6.56429
SMED30024282	17.0078	16.3356	18.5644	23.469	23.8568
SMED30024283	0.0439553	0.038387	0	0.0543794	0.0109552
SMED30024286	18.5249	21.9651	20.0696	16.366	13.3859
SMED30024289	4.05103	5.01159	4.29278	4.2103	4.6543
SMED30024295	86.7165	89.1109	85.9138	94.6363	94.5227
SMED30024297	0.437018	0.398767	0.479436	0.838102	0.70724
SMED30024302	21.955	21.591	24.2778	25.6998	27.896
SMED30024309	274.881	262.129	275.599	310.966	281.856
SMED30024316	51.7446	46.4526	35.8475	26.5289	20.122
SMED30024320	19.6429	22.7116	23.804	28.0594	29.3569
SMED30024324	0.481933	0.365298	0.589918	0.63353	0.748939
SMED30024331	1.11535	1.07702	0.721143	0.523321	0.486338
SMED30024342	6.33323	6.65613	8.98649	11.5602	11.6958
SMED30024352	0.0362628	0.0130972	0.03606	0	0.0293707
SMED30024355	1.04467	0.958195	1.17771	1.29227	1.55855
SMED30024359	1.65562	2.08986	2.02531	1.67816	2.23591
SMED30024367	87.1	80.1031	93.2094	116.288	122.15
SMED30024374	76.3015	81.5748	88.7524	95.9262	102.533
