p_val avg_logFC pct.1 pct.2 p_val_adj
SMED30008091 0 0.842573344537751 0.278 0.064 0
SMED30002314 0 0.596353776691096 0.383 0.1 0
SMED30022157 0 0.443509632211475 0.318 0.049 0
SMED30013522 0 0.253591587476415 0.174 0.009 0
SMED30001563 0 -0.433653672405477 0.589 0.77 0
SMED30019092 0 -0.459768456009477 0.223 0.517 0
SMED30020470 0 -0.485061133583527 0.577 0.769 0
SMED30012579 0 -0.583752917698347 0.284 0.592 0
SMED30031105 0 -0.584305832509359 0.993 0.999 0
SMED30034174 6.82370185069338e-298 0.222196498083048 0.155 0.004 1.49561897163498e-293
SMED30031751 1.80431451028399e-291 0.446108074502112 0.703 0.539 3.95469654364046e-287
SMED30027180 3.14636711530892e-286 0.276837340556366 0.161 0.008 6.89620744333409e-282
SMED30019910 9.46346477409375e-268 0.469634549956041 0.636 0.472 2.07420220918587e-263
SMED30006394 1.45096472367832e-251 0.238823343563015 0.188 0.028 3.18022448135814e-247
SMED30015808 4.19838042504006e-250 0.40597058776791 0.921 0.861 9.2020102156028e-246
SMED30031065 2.54654529836213e-216 -0.365920311382478 0.354 0.581 5.58151798495012e-212
SMED30007096 1.36582296073691e-200 -0.305205444145179 0.185 0.39 2.99361076534316e-196
SMED30028576 1.43865202030047e-192 -0.323666133580857 0.505 0.699 3.15323749809458e-188
SMED30008695 4.70329316094799e-188 0.349898042536805 0.835 0.711 1.03086779501658e-183
SMED30026267 9.58335956647266e-188 1.07276174397826 0.121 0.011 2.10048074977948e-183
SMED30014511 3.92704703290894e-182 0.276992830783906 0.321 0.138 8.60730168672981e-178
SMED30021776 1.62183114119909e-169 0.661603471614346 0.398 0.24 3.55472949528016e-165
SMED30012412 7.43983700572952e-169 0.278754443336588 0.347 0.164 1.6306634749158e-164
SMED30014530 3.02673330599389e-165 -0.330389565756668 0.389 0.581 6.63399406007741e-161
SMED30000129 2.95077310799687e-164 0.129810685163504 0.136 0.022 6.46750449810753e-160
